number,27_starttime,27_endtime,27_amount,1222_starttime,1222_endtime,1222_amount,5679_starttime,5679_endtime,5679_amount,9053_starttime,9053_endtime,9053_amount
123,2019/9/28 13:32,2019/9/28 16:09,8.41515,2019/9/24 16:57,2019/9/24 17:50,4.171033333,0,0,0,2019/7/13 6:48,2019/7/13 7:09,0.114716667
124,2019/9/29 19:40,2019/9/29 21:29,5.697716667,2019/9/25 12:04,2019/9/25 12:21,1.777016667,0,0,0,2019/7/13 17:32,2019/7/13 17:33,0.00145
125,2019/9/30 17:14,2019/9/30 19:25,6.986133333,2019/9/25 17:29,2019/9/25 19:00,8.814716667,0,0,0,2019/7/16 16:03,2019/7/16 16:04,0.001416667
126,2019/10/1 16:20,2019/10/1 18:32,7.032166667,2019/9/26 6:41,2019/9/26 6:42,0.000116667,0,0,0,2019/7/16 17:00,2019/7/17 4:45,16.81108333
127,2019/10/2 16:26,2019/10/2 17:16,2.470833333,2019/9/26 18:16,2019/9/26 19:28,6.250533333,0,0,0,2019/7/20 15:28,2019/7/21 4:38,18.79108333
128,2019/10/3 16:56,2019/10/3 20:01,9.96815,2019/9/27 10:42,2019/9/27 12:03,7.621783333,0,0,0,2019/7/24 17:36,2019/7/24 18:09,0.15795
129,2019/10/4 18:02,2019/10/4 21:32,11.36875,2019/9/27 17:58,2019/9/27 18:45,4.03415,0,0,0,2019/7/27 15:48,2019/7/27 16:03,0.229916667
130,2019/10/7 16:17,2019/10/7 17:32,3.749116667,2019/9/28 11:34,2019/9/28 12:32,4.96735,0,0,0,2019/7/27 16:04,2019/7/27 18:44,2.530583333
131,2019/10/8 10:07,2019/10/8 13:20,10.39771667,2019/9/28 17:02,2019/9/28 18:00,5.670266667,0,0,0,2019/7/27 18:45,2019/7/27 18:46,0
132,2019/10/9 16:51,2019/10/9 19:20,7.948833333,2019/9/28 22:34,2019/9/28 23:20,3.8794,0,0,0,2019/7/27 18:49,2019/7/27 18:50,8.33E-05
133,2019/10/10 17:11,2019/10/10 19:32,7.523516667,2019/9/29 17:01,2019/9/29 18:12,6.246433333,0,0,0,2019/7/29 11:12,2019/7/29 11:30,0.04015
134,2019/10/11 9:08,2019/10/11 12:02,9.305816667,2019/9/30 16:45,2019/9/30 18:28,10.32558333,0,0,0,2019/7/29 12:32,2019/7/29 13:41,0.161716667
135,2019/10/11 17:06,2019/10/11 20:06,9.699066667,2019/10/1 17:32,2019/10/1 18:25,4.6792,0,0,0,2019/7/29 14:42,2019/7/29 15:57,0.173333333
136,2019/10/12 11:54,2019/10/12 14:23,7.945283333,2019/10/2 17:28,2019/10/2 18:35,5.7315,0,0,0,2019/7/29 16:57,2019/7/29 17:49,0.119866667
137,2019/10/14 17:12,2019/10/14 20:30,10.68161667,2019/10/4 9:40,2019/10/4 10:48,0.139616667,0,0,0,2019/7/30 4:32,2019/7/30 5:36,0.151566667
138,2019/10/15 22:17,2019/10/16 0:24,6.633983333,2019/10/6 10:46,2019/10/6 12:46,0.241983333,0,0,0,2019/7/30 6:37,2019/7/30 7:43,0.15475
139,2019/10/16 16:13,2019/10/16 16:56,2.324333333,2019/10/8 12:44,2019/10/8 14:44,0.241366667,0,0,0,2019/7/30 8:44,2019/7/30 9:53,0.16185
140,2019/10/16 20:25,2019/10/17 0:00,11.6223,2019/10/10 14:42,2019/10/10 16:42,0.243933333,0,0,0,2019/7/30 10:55,2019/7/30 12:10,0.175016667
141,2019/10/17 17:32,2019/10/17 19:11,4.919133333,2019/10/12 16:40,2019/10/12 18:40,0.242716667,0,0,0,2019/7/30 13:10,2019/7/30 14:27,0.209933333
142,2019/10/18 16:38,2019/10/18 19:36,9.5627,2019/10/14 8:08,2019/10/14 8:12,0.011333333,0,0,0,2019/7/30 15:27,2019/7/30 16:41,0.200816667
143,2019/10/19 17:02,2019/10/19 18:00,3.186,2019/10/14 11:08,2019/10/14 12:04,4.61785,0,0,0,2019/7/30 17:33,2019/7/31 6:35,19.11698333
144,2019/10/19 20:55,2019/10/20 0:31,11.6889,2019/10/14 15:41,2019/10/14 15:42,0.00015,0,0,0,2019/8/1 20:49,2019/8/2 4:34,7.59055
145,2019/10/20 5:05,2019/10/20 5:13,0.229566667,2019/10/14 16:22,2019/10/14 17:06,3.299183333,0,0,0,2019/8/2 12:59,2019/8/2 13:20,0.129166667
146,2019/10/20 8:28,2019/10/20 8:30,0.03845,2019/10/15 16:48,2019/10/15 17:55,5.630466667,0,0,0,2019/8/2 16:49,2019/8/2 16:50,0.001333333
147,2019/10/20 17:16,2019/10/20 20:55,11.91486667,2019/10/16 16:52,2019/10/16 17:58,6.030666667,0,0,0,2019/8/2 17:00,2019/8/3 2:44,14.08173333
148,2019/10/21 15:33,2019/10/21 16:49,3.863433333,2019/10/17 5:31,2019/10/17 5:42,0.3697,0,0,0,2019/8/7 6:28,2019/8/7 6:45,0.392216667
149,2019/10/22 16:50,2019/10/22 19:32,8.643233333,2019/10/17 13:39,2019/10/17 14:40,4.802183333,0,0,0,2019/8/7 16:23,2019/8/7 18:07,2.496866667
150,2019/10/23 9:51,2019/10/23 12:25,8.1465,2019/10/17 17:09,2019/10/17 17:43,3.64635,0,0,0,2019/8/7 20:52,2019/8/8 7:11,15.01758333
151,2019/10/23 14:58,2019/10/23 18:39,12.02951667,0,0,0,0,0,0,2019/8/9 17:18,2019/8/10 5:51,18.23821667
152,2019/10/24 16:41,2019/10/24 19:02,7.480783333,0,0,0,0,0,0,2019/8/10 15:25,2019/8/10 15:35,0.211183333
153,2019/10/25 15:55,2019/10/25 18:16,7.483333333,0,0,0,0,0,0,2019/8/14 17:29,2019/8/15 4:42,16.28555
154,2019/10/26 17:40,2019/10/26 19:38,6.1754,0,0,0,0,0,0,2019/8/17 20:55,2019/8/18 2:27,8.0509
155,2019/10/27 13:36,2019/10/27 16:05,7.946216667,0,0,0,0,0,0,2019/8/18 4:51,2019/8/18 11:47,10.07338333
156,2019/10/28 15:29,2019/10/28 16:40,3.9425,0,0,0,0,0,0,2019/8/19 18:56,2019/8/19 18:59,0.03705
157,2019/10/28 19:08,2019/10/28 22:22,10.48725,0,0,0,0,0,0,0,2019/8/19 19:46,0.133233333
158,2019/10/30 16:58,2019/10/30 19:41,8.729566667,0,0,0,0,0,0,2019/8/19 20:50,2019/8/19 22:03,0.130283333
159,2019/10/31 19:52,2019/10/31 23:30,11.85361667,0,0,0,0,0,0,2019/8/19 23:07,2019/8/19 23:21,0.026783333
160,0,0,0,0,0,0,0,0,0,2019/8/20 9:50,2019/8/20 10:58,0.120983333
161,0,0,0,0,0,0,0,0,0,2019/8/20 12:00,2019/8/20 13:14,0.129616667
162,0,0,0,0,0,0,0,0,0,2019/8/21 9:25,2019/8/21 10:04,0.066966667
163,0,0,0,0,0,0,0,0,0,2019/8/21 11:07,2019/8/21 12:19,0.127283333
164,0,0,0,0,0,0,0,0,0,2019/8/21 13:22,2019/8/21 13:33,0.020366667
165,0,0,0,0,0,0,0,0,0,2019/8/23 9:43,2019/8/23 10:47,0.115516667
166,0,0,0,0,0,0,0,0,0,2019/8/23 11:50,2019/8/23 12:51,0.109633333
167,0,0,0,0,0,0,0,0,0,2019/8/23 12:58,2019/8/23 13:18,0.1172
168,0,0,0,0,0,0,0,0,0,2019/8/24 14:18,2019/8/24 14:21,0.041383333
169,0,0,0,0,0,0,0,0,0,2019/8/26 16:16,2019/8/26 16:17,0.001366667
170,0,0,0,0,0,0,0,0,0,2019/8/26 17:00,2019/8/27 4:24,16.53185
171,0,0,0,0,0,0,0,0,0,2019/8/27 16:28,2019/8/27 16:29,0.0001
172,0,0,0,0,0,0,0,0,0,2019/8/27 17:00,2019/8/27 17:24,0.382533333
173,0,0,0,0,0,0,0,0,0,2019/8/27 18:07,2019/8/28 5:42,11.40598333
174,0,0,0,0,0,0,0,0,0,2019/8/28 13:38,2019/8/28 14:35,0.1017
175,0,0,0,0,0,0,0,0,0,2019/8/28 15:44,2019/8/28 16:48,0.114083333
176,0,0,0,0,0,0,0,0,0,2019/8/29 17:02,2019/8/30 3:03,14.52266667
177,0,0,0,0,0,0,0,0,0,2019/9/1 11:09,2019/9/1 11:40,0.10685
178,0,0,0,0,0,0,0,0,0,2019/9/1 11:55,2019/9/1 15:24,3.434066667
179,0,0,0,0,0,0,0,0,0,2019/9/1 19:42,2019/9/2 4:35,13.00045
180,0,0,0,0,0,0,0,0,0,2019/9/2 6:16,2019/9/2 8:18,2.9425
181,0,0,0,0,0,0,0,0,0,2019/9/2 19:51,2019/9/3 6:39,15.8119
182,0,0,0,0,0,0,0,0,0,2019/9/3 11:42,2019/9/3 14:02,0.58525
183,0,0,0,0,0,0,0,0,0,2019/9/4 18:59,2019/9/5 7:08,11.92443333
184,0,0,0,0,0,0,0,0,0,2019/9/5 18:04,2019/9/6 6:21,18.69416667
185,0,0,0,0,0,0,0,0,0,2019/9/6 18:58,2019/9/6 19:00,0.003283333
186,0,0,0,0,0,0,0,0,0,2019/9/7 10:06,2019/9/7 10:10,0.013916667
187,0,0,0,0,0,0,0,0,0,2019/9/7 11:13,2019/9/7 11:44,0.15865
188,0,0,0,0,0,0,0,0,0,2019/9/10 17:24,2019/9/10 18:30,0.128066667
189,0,0,0,0,0,0,0,0,0,2019/9/10 19:37,2019/9/10 20:10,0.064483333
190,0,0,0,0,0,0,0,0,0,2019/9/11 17:43,2019/9/11 17:46,0.032033333
191,0,0,0,0,0,0,0,0,0,2019/9/11 17:50,2019/9/11 17:52,0.022083333
192,0,0,0,0,0,0,0,0,0,2019/9/11 19:14,2019/9/11 23:35,1.195283333
193,0,0,0,0,0,0,0,0,0,2019/9/12 2:22,2019/9/12 3:34,0.146433333
194,0,0,0,0,0,0,0,0,0,2019/9/12 16:51,2019/9/12 17:02,0.020333333
195,0,0,0,0,0,0,0,0,0,2019/9/15 20:32,2019/9/16 0:40,1.004183333
196,0,0,0,0,0,0,0,0,0,2019/9/16 16:59,2019/9/16 17:03,0.057566667
197,0,0,0,0,0,0,0,0,0,2019/9/16 18:47,2019/9/17 6:31,17.08543333
198,0,0,0,0,0,0,0,0,0,2019/9/20 17:49,2019/9/21 6:01,17.82173333
199,0,0,0,0,0,0,0,0,0,2019/9/22 12:49,2019/9/22 12:57,0.0149
200,0,0,0,0,0,0,0,0,0,2019/9/23 16:59,2019/9/24 6:38,16.6568
201,0,0,0,0,0,0,0,0,0,2019/9/27 20:10,2019/9/27 20:13,0.003933333
202,0,0,0,0,0,0,0,0,0,2019/9/28 15:43,2019/9/28 15:47,0.061816667
203,0,0,0,0,0,0,0,0,0,2019/10/1 13:44,2019/10/1 15:00,1.20715
204,0,0,0,0,0,0,0,0,0,2019/10/1 16:59,2019/10/2 6:33,13.29146667
205,0,0,0,0,0,0,0,0,0,2019/10/3 17:09,2019/10/3 21:18,0.989666667
206,0,0,0,0,0,0,0,0,0,2019/10/4 6:12,2019/10/4 6:39,0.6054
207,0,0,0,0,0,0,0,0,0,2019/10/4 16:43,2019/10/4 16:44,0.001566667
208,0,0,0,0,0,0,0,0,0,2019/10/4 16:59,2019/10/5 5:35,18.27776667
209,0,0,0,0,0,0,0,0,0,2019/10/5 10:00,2019/10/5 10:04,0.005566667
210,0,0,0,0,0,0,0,0,0,2019/10/5 20:50,2019/10/6 7:27,15.39018333
211,0,0,0,0,0,0,0,0,0,2019/10/6 14:48,2019/10/6 14:50,0.022433333
212,0,0,0,0,0,0,0,0,0,2019/10/6 15:10,2019/10/6 15:12,0.020966667
213,0,0,0,0,0,0,0,0,0,2019/10/8 16:17,2019/10/8 16:18,5.00E-05
214,0,0,0,0,0,0,0,0,0,2019/10/8 16:59,2019/10/9 4:17,16.43573333
215,0,0,0,0,0,0,0,0,0,2019/10/12 19:26,2019/10/13 5:36,9.910766667
216,0,0,0,0,0,0,0,0,0,2019/10/14 5:08,2019/10/14 5:09,0.0002
217,0,0,0,0,0,0,0,0,0,2019/10/17 18:50,2019/10/17 18:53,0.004516667
218,0,0,0,0,0,0,0,0,0,2019/10/18 16:54,2019/10/18 17:13,0.102516667
219,0,0,0,0,0,0,0,0,0,2019/10/18 17:14,2019/10/18 17:15,0.000766667
220,0,0,0,0,0,0,0,0,0,2019/10/19 7:54,2019/10/19 7:57,0.04665
221,0,0,0,0,0,0,0,0,0,2019/10/19 16:19,2019/10/19 16:45,0.128616667
222,0,0,0,0,0,0,0,0,0,2019/10/19 16:49,2019/10/19 16:54,0.0097
223,0,0,0,0,0,0,0,0,0,2019/10/21 5:29,2019/10/21 5:32,0.004383333
224,0,0,0,0,0,0,0,0,0,2019/10/23 17:05,2019/10/23 17:08,0.036866667
225,0,0,0,0,0,0,0,0,0,2019/10/23 19:46,2019/10/23 21:21,0.361183333
226,0,0,0,0,0,0,0,0,0,2019/10/24 21:28,2019/10/24 21:31,0.0047
227,0,0,0,0,0,0,0,0,0,2019/10/25 19:41,2019/10/25 19:44,0.003733333
228,0,0,0,0,0,0,0,0,0,2019/10/26 10:16,2019/10/26 10:52,0.159683333
229,0,0,0,0,0,0,0,0,0,2019/10/26 10:58,2019/10/26 10:59,0.0006
230,0,0,0,0,0,0,0,0,0,2019/10/26 11:07,2019/10/26 11:09,0.009033333
231,0,0,0,0,0,0,0,0,0,2019/10/26 11:10,2019/10/26 11:11,8.33E-05
232,0,0,0,0,0,0,0,0,0,2019/10/26 11:15,2019/10/26 11:17,0.006933333
233,0,0,0,0,0,0,0,0,0,2019/10/26 11:21,2019/10/26 11:22,8.33E-05
234,0,0,0,0,0,0,0,0,0,2019/10/26 11:25,2019/10/26 11:28,0.019533333
235,0,0,0,0,0,0,0,0,0,2019/10/26 11:34,2019/10/26 11:35,8.33E-05
236,0,0,0,0,0,0,0,0,0,2019/10/26 11:40,2019/10/26 11:44,0.04015
237,0,0,0,0,0,0,0,0,0,2019/10/26 11:45,2019/10/26 11:47,0.003233333
238,0,0,0,0,0,0,0,0,0,2019/10/27 13:55,2019/10/27 13:57,0.004016667
239,0,0,0,0,0,0,0,0,0,2019/10/27 14:13,2019/10/27 14:15,0.009466667
240,0,0,0,0,0,0,0,0,0,2019/10/29 14:55,2019/10/29 14:59,0.0558
241,0,0,0,0,0,0,0,0,0,2019/10/31 6:20,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0,0
